text,label
Escalating this: the product is urgent and downtime is increasing.,negative
your service was flawless; the client was thrilled with the outcome.,positive
"We are very happy with the project, truly excellent work.",positive
the release is scheduled for Thursday at 10:00 AM.,neutral
Really appreciate the delightful effort on support.,positive
Escalating this: the delivery is frustrating and downtime is increasing.,negative
"Thank you so much, the invoice was absolutely superb.",positive
Urgent: the report is terrible and we risk losing the contract.,negative
"I am extremely disappointed with the team, it was frustrating.",negative
Really appreciate the wonderful effort on the project.,positive
The delayed issue with the invoice has not been addressed despite reminders.,negative
The faulty issue with the update has not been addressed despite reminders.,negative
Here is the weekly status update on the report.,neutral
This is terrible. the demo failed again and must be fixed immediately.,negative
"Fantastic news about the delivery, everything went excellent.",positive
Great job on your service — the results were excellent and exceeded expectations.,positive
Here is the weekly status update on the release.,neutral
Urgent: the meeting is terrible and we risk losing the contract.,negative
The awful issue with the invoice has not been addressed despite reminders.,negative
the release was impressive; the client was thrilled with the outcome.,positive
"Fantastic news about the demo, everything went excellent.",positive
the update is completely frustrating; our clients are complaining.,negative
"I am extremely disappointed with the project, it was frustrating.",negative
Great job on the project — the results were delightful and exceeded expectations.,positive
Urgent: the update is critical and we risk losing the contract.,negative
the product is completely broken; our clients are complaining.,negative
This is faulty. the report failed again and must be fixed immediately.,negative
Urgent: the release is frustrating and we risk losing the contract.,negative
Great job on the meeting — the results were flawless and exceeded expectations.,positive
"I love how the meeting turned out, it was fantastic.",positive
the delivery was superb; the client was thrilled with the outcome.,positive
"Congratulations to everyone, your service looked superb today.",positive
Urgent: the update is disappointing and we risk losing the contract.,negative
Urgent: the client is disappointing and we risk losing the contract.,negative
"I love how the project turned out, it was impressive.",positive
This is critical. the update failed again and must be fixed immediately.,negative
Great job on the delivery — the results were wonderful and exceeded expectations.,positive
I demand a refund — the meeting was broken and unusable.,negative
Really appreciate the flawless effort on the client.,positive
the client was great; the client was thrilled with the outcome.,positive
"I am extremely disappointed with the client, it was broken.",negative
Here is the weekly status update on the invoice.,neutral
Reminder: support takes place next week as planned.,neutral
Urgent: support is unacceptable and we risk losing the contract.,negative
Urgent: the release is unacceptable and we risk losing the contract.,negative
the client is scheduled for Thursday at 10:00 AM.,neutral
This is urgent. the team failed again and must be fixed immediately.,negative
Escalating this: the project is terrible and downtime is increasing.,negative
Please find attached the notes for the update.,neutral
I demand a refund — the release was frustrating and unusable.,negative
"Thank you so much, the product was absolutely great.",positive
"I love how the meeting turned out, it was outstanding.",positive
"Fantastic news about the invoice, everything went impressive.",positive
"I am extremely disappointed with the meeting, it was awful.",negative
The frustrating issue with the team has not been addressed despite reminders.,negative
This is unacceptable. the demo failed again and must be fixed immediately.,negative
Escalating this: the demo is broken and downtime is increasing.,negative
Really appreciate the outstanding effort on the update.,positive
"Thank you so much, the meeting was absolutely fantastic.",positive
The frustrating issue with support has not been addressed despite reminders.,negative
We reviewed the release and there are no changes to report.,neutral
Escalating this: the product is awful and downtime is increasing.,negative
We reviewed the invoice and there are no changes to report.,neutral
"We are very happy with the report, truly great work.",positive
This is unacceptable. the release failed again and must be fixed immediately.,negative
"Thank you so much, the update was absolutely excellent.",positive
"Congratulations to everyone, the client looked delightful today.",positive
We have a unacceptable problem with the release and need it resolved asap.,negative
Urgent: the product is awful and we risk losing the contract.,negative
"Thank you so much, the client was absolutely outstanding.",positive
"Congratulations to everyone, the invoice looked fantastic today.",positive
The delayed issue with your service has not been addressed despite reminders.,negative
"Thank you so much, our vendor was absolutely delightful.",positive
Here is the weekly status update on our vendor.,neutral
"Congratulations to everyone, the delivery looked fantastic today.",positive
"Fantastic news about our vendor, everything went excellent.",positive
I demand a refund — support was critical and unusable.,negative
"We are very happy with the release, truly great work.",positive
This is terrible. the client failed again and must be fixed immediately.,negative
Can you confirm the details for the delivery before Friday?,neutral
the team is scheduled for Thursday at 10:00 AM.,neutral
the report is scheduled for Thursday at 10:00 AM.,neutral
"Thank you so much, the team was absolutely superb.",positive
the delivery is completely delayed; our clients are complaining.,negative
our vendor is completely broken; our clients are complaining.,negative
Escalating this: the delivery is unacceptable and downtime is increasing.,negative
"Thank you so much, the release was absolutely impressive.",positive
Can you confirm the details for our vendor before Friday?,neutral
Really appreciate the fantastic effort on the invoice.,positive
"Fantastic news about the report, everything went delightful.",positive
Escalating this: your service is terrible and downtime is increasing.,negative
"The agenda for the project covers scope, timeline, and budget.",neutral
Urgent: the invoice is critical and we risk losing the contract.,negative
"Fantastic news about the demo, everything went impressive.",positive
"Thank you so much, the project was absolutely smooth.",positive
your service was wonderful; the client was thrilled with the outcome.,positive
"We are very happy with the meeting, truly wonderful work.",positive
Really appreciate the fantastic effort on the update.,positive
We have a urgent problem with support and need it resolved asap.,negative
Urgent: the demo is terrible and we risk losing the contract.,negative
the invoice was superb; the client was thrilled with the outcome.,positive
Forwarding the documentation related to support for your reference.,neutral
Please find attached the notes for the team.,neutral
We reviewed support and there are no changes to report.,neutral
the update is completely faulty; our clients are complaining.,negative
"I am extremely disappointed with the invoice, it was frustrating.",negative
Great job on the client — the results were delightful and exceeded expectations.,positive
"Fantastic news about the project, everything went flawless.",positive
"Fantastic news about support, everything went delightful.",positive
The unacceptable issue with the report has not been addressed despite reminders.,negative
I demand a refund — the invoice was frustrating and unusable.,negative
"Thank you so much, the product was absolutely superb.",positive
"We are very happy with our vendor, truly wonderful work.",positive
The critical issue with the product has not been addressed despite reminders.,negative
"We are very happy with your service, truly flawless work.",positive
the meeting is completely frustrating; our clients are complaining.,negative
Urgent: the meeting is delayed and we risk losing the contract.,negative
I demand a refund — the demo was broken and unusable.,negative
"I love how the release turned out, it was superb.",positive
"We are very happy with the invoice, truly impressive work.",positive
"I am extremely disappointed with the meeting, it was frustrating.",negative
Can you confirm the details for the team before Friday?,neutral
The unacceptable issue with the demo has not been addressed despite reminders.,negative
"I love how your service turned out, it was great.",positive
the meeting was smooth; the client was thrilled with the outcome.,positive
Urgent: the invoice is faulty and we risk losing the contract.,negative
We reviewed our vendor and there are no changes to report.,neutral
Really appreciate the wonderful effort on our vendor.,positive
I demand a refund — the meeting was critical and unusable.,negative
support was superb; the client was thrilled with the outcome.,positive
Can you confirm the details for the project before Friday?,neutral
Please find attached the notes for the project.,neutral
"I love how the demo turned out, it was impressive.",positive
Escalating this: the meeting is critical and downtime is increasing.,negative
"Congratulations to everyone, the team looked fantastic today.",positive
We have a disappointing problem with the team and need it resolved asap.,negative
We have a faulty problem with our vendor and need it resolved asap.,negative
the report is completely frustrating; our clients are complaining.,negative
We have a urgent problem with your service and need it resolved asap.,negative
Great job on the project — the results were great and exceeded expectations.,positive
Really appreciate the delightful effort on the release.,positive
Urgent: your service is critical and we risk losing the contract.,negative
"I love how the invoice turned out, it was superb.",positive
Here is the weekly status update on the project.,neutral
"We are very happy with support, truly superb work.",positive
the client is completely urgent; our clients are complaining.,negative
"Thank you so much, our vendor was absolutely smooth.",positive
The disappointing issue with the meeting has not been addressed despite reminders.,negative
Reminder: the demo takes place next week as planned.,neutral
"Congratulations to everyone, the update looked excellent today.",positive
I demand a refund — the product was awful and unusable.,negative
Really appreciate the fantastic effort on the team.,positive
"I love how the demo turned out, it was flawless.",positive
Please find attached the notes for support.,neutral
I demand a refund — the demo was faulty and unusable.,negative
"The agenda for the invoice covers scope, timeline, and budget.",neutral
Escalating this: our vendor is faulty and downtime is increasing.,negative
Forwarding the documentation related to the release for your reference.,neutral
"I am extremely disappointed with the report, it was awful.",negative
"I am extremely disappointed with the client, it was awful.",negative
"We are very happy with the delivery, truly flawless work.",positive
I demand a refund — the delivery was frustrating and unusable.,negative
the release was superb; the client was thrilled with the outcome.,positive
Really appreciate the superb effort on the release.,positive
Please find attached the notes for the client.,neutral
Reminder: the delivery takes place next week as planned.,neutral
"Fantastic news about the project, everything went excellent.",positive
"I am extremely disappointed with the project, it was delayed.",negative
Can you confirm the details for the update before Friday?,neutral
"Congratulations to everyone, your service looked delightful today.",positive
"Congratulations to everyone, the report looked great today.",positive
"I love how the demo turned out, it was smooth.",positive
We have a urgent problem with the update and need it resolved asap.,negative
Urgent: support is broken and we risk losing the contract.,negative
Really appreciate the superb effort on the update.,positive
your service is completely frustrating; our clients are complaining.,negative
Escalating this: the report is broken and downtime is increasing.,negative
Escalating this: the client is awful and downtime is increasing.,negative
Urgent: our vendor is disappointing and we risk losing the contract.,negative
the delivery is scheduled for Thursday at 10:00 AM.,neutral
"I am extremely disappointed with the delivery, it was critical.",negative
The urgent issue with the client has not been addressed despite reminders.,negative
"Thank you so much, the team was absolutely great.",positive
"Fantastic news about your service, everything went wonderful.",positive
I demand a refund — your service was broken and unusable.,negative
This is frustrating. the demo failed again and must be fixed immediately.,negative
The frustrating issue with the demo has not been addressed despite reminders.,negative
Really appreciate the great effort on the demo.,positive
the demo was superb; the client was thrilled with the outcome.,positive
"I love how support turned out, it was wonderful.",positive
Great job on the demo — the results were delightful and exceeded expectations.,positive
We have a delayed problem with the update and need it resolved asap.,negative
"Thank you so much, the team was absolutely smooth.",positive
"Congratulations to everyone, the project looked great today.",positive
The disappointing issue with support has not been addressed despite reminders.,negative
the meeting was fantastic; the client was thrilled with the outcome.,positive
This is faulty. the delivery failed again and must be fixed immediately.,negative
Really appreciate the flawless effort on the project.,positive
We have a broken problem with support and need it resolved asap.,negative
"I am extremely disappointed with the project, it was urgent.",negative
the meeting is completely disappointing; our clients are complaining.,negative
"We are very happy with your service, truly fantastic work.",positive
"We are very happy with the product, truly delightful work.",positive
"Thank you so much, your service was absolutely great.",positive
We have a broken problem with the client and need it resolved asap.,negative
"Fantastic news about the client, everything went smooth.",positive
Great job on the project — the results were superb and exceeded expectations.,positive
Urgent: the client is delayed and we risk losing the contract.,negative
I demand a refund — our vendor was unacceptable and unusable.,negative
This is critical. the report failed again and must be fixed immediately.,negative
This is critical. the meeting failed again and must be fixed immediately.,negative
"I am extremely disappointed with the update, it was awful.",negative
"I am extremely disappointed with the meeting, it was faulty.",negative
Forwarding the documentation related to the update for your reference.,neutral
Great job on the release — the results were fantastic and exceeded expectations.,positive
"I am extremely disappointed with the project, it was broken.",negative
Really appreciate the outstanding effort on the project.,positive
"Congratulations to everyone, the release looked superb today.",positive
"Thank you so much, our vendor was absolutely outstanding.",positive
We reviewed the product and there are no changes to report.,neutral
the project was superb; the client was thrilled with the outcome.,positive
the update was wonderful; the client was thrilled with the outcome.,positive
the product was wonderful; the client was thrilled with the outcome.,positive
The broken issue with your service has not been addressed despite reminders.,negative
Please find attached the notes for our vendor.,neutral
the demo is completely frustrating; our clients are complaining.,negative
"Congratulations to everyone, the release looked wonderful today.",positive
I demand a refund — the demo was awful and unusable.,negative
The broken issue with the product has not been addressed despite reminders.,negative
The faulty issue with the invoice has not been addressed despite reminders.,negative
Really appreciate the delightful effort on the delivery.,positive
Please find attached the notes for the demo.,neutral
"Congratulations to everyone, support looked impressive today.",positive
"The agenda for the team covers scope, timeline, and budget.",neutral
Here is the weekly status update on the meeting.,neutral
"We are very happy with the release, truly smooth work.",positive
the invoice is completely broken; our clients are complaining.,negative
The faulty issue with the report has not been addressed despite reminders.,negative
the product was outstanding; the client was thrilled with the outcome.,positive
"Congratulations to everyone, support looked wonderful today.",positive
Here is the weekly status update on your service.,neutral
Urgent: the update is urgent and we risk losing the contract.,negative
The faulty issue with the demo has not been addressed despite reminders.,negative
"I love how the client turned out, it was smooth.",positive
This is frustrating. the invoice failed again and must be fixed immediately.,negative
Escalating this: the invoice is delayed and downtime is increasing.,negative
"We are very happy with support, truly wonderful work.",positive
This is broken. the team failed again and must be fixed immediately.,negative
"I love how the project turned out, it was flawless.",positive
We have a disappointing problem with the update and need it resolved asap.,negative
I demand a refund — the delivery was unacceptable and unusable.,negative
"Congratulations to everyone, the update looked superb today.",positive
"The agenda for the demo covers scope, timeline, and budget.",neutral
Urgent: the meeting is critical and we risk losing the contract.,negative
our vendor is scheduled for Thursday at 10:00 AM.,neutral
"I am extremely disappointed with the team, it was disappointing.",negative
I demand a refund — the client was broken and unusable.,negative
Urgent: the project is frustrating and we risk losing the contract.,negative
I demand a refund — the project was unacceptable and unusable.,negative
The awful issue with our vendor has not been addressed despite reminders.,negative
"Fantastic news about support, everything went wonderful.",positive
I demand a refund — the report was disappointing and unusable.,negative
the team was superb; the client was thrilled with the outcome.,positive
the invoice is completely awful; our clients are complaining.,negative
Reminder: the client takes place next week as planned.,neutral
Reminder: the report takes place next week as planned.,neutral
This is critical. the release failed again and must be fixed immediately.,negative
"I am extremely disappointed with the invoice, it was faulty.",negative
Forwarding the documentation related to the invoice for your reference.,neutral
Great job on the team — the results were excellent and exceeded expectations.,positive
your service is completely delayed; our clients are complaining.,negative
I demand a refund — the project was disappointing and unusable.,negative
"Congratulations to everyone, the client looked flawless today.",positive
"Fantastic news about the delivery, everything went smooth.",positive
"We are very happy with the update, truly impressive work.",positive
Urgent: the delivery is terrible and we risk losing the contract.,negative
We reviewed the client and there are no changes to report.,neutral
Great job on the product — the results were impressive and exceeded expectations.,positive
"We are very happy with the demo, truly fantastic work.",positive
"We are very happy with the product, truly superb work.",positive
"I love how the team turned out, it was flawless.",positive
Great job on your service — the results were outstanding and exceeded expectations.,positive
Here is the weekly status update on the update.,neutral
We reviewed the update and there are no changes to report.,neutral
"We are very happy with the client, truly superb work.",positive
"Congratulations to everyone, the invoice looked flawless today.",positive
"I love how the release turned out, it was wonderful.",positive
Urgent: the delivery is critical and we risk losing the contract.,negative
support was fantastic; the client was thrilled with the outcome.,positive
"We are very happy with the project, truly delightful work.",positive
The faulty issue with the release has not been addressed despite reminders.,negative
I demand a refund — the invoice was unacceptable and unusable.,negative
Escalating this: the delivery is faulty and downtime is increasing.,negative
Forwarding the documentation related to the client for your reference.,neutral
Can you confirm the details for the product before Friday?,neutral
"Congratulations to everyone, the product looked flawless today.",positive
"Thank you so much, the meeting was absolutely wonderful.",positive
Escalating this: the demo is frustrating and downtime is increasing.,negative
"Congratulations to everyone, the demo looked flawless today.",positive
This is delayed. the project failed again and must be fixed immediately.,negative
"I am extremely disappointed with the invoice, it was unacceptable.",negative
"Fantastic news about the report, everything went superb.",positive
Can you confirm the details for the report before Friday?,neutral
I demand a refund — the project was delayed and unusable.,negative
Here is the weekly status update on the team.,neutral
This is awful. the delivery failed again and must be fixed immediately.,negative
"We are very happy with the delivery, truly wonderful work.",positive
the invoice was impressive; the client was thrilled with the outcome.,positive
support is completely broken; our clients are complaining.,negative
Forwarding the documentation related to the meeting for your reference.,neutral
"Congratulations to everyone, the client looked fantastic today.",positive
We have a terrible problem with our vendor and need it resolved asap.,negative
"The agenda for the product covers scope, timeline, and budget.",neutral
"I love how the delivery turned out, it was flawless.",positive
Really appreciate the great effort on support.,positive
Really appreciate the superb effort on your service.,positive
The broken issue with the update has not been addressed despite reminders.,negative
"We are very happy with support, truly outstanding work.",positive
the invoice was delightful; the client was thrilled with the outcome.,positive
Really appreciate the wonderful effort on the meeting.,positive
"Thank you so much, the project was absolutely wonderful.",positive
Escalating this: our vendor is frustrating and downtime is increasing.,negative
Urgent: the team is frustrating and we risk losing the contract.,negative
Can you confirm the details for your service before Friday?,neutral
the release was excellent; the client was thrilled with the outcome.,positive
"I am extremely disappointed with the client, it was critical.",negative
Forwarding the documentation related to the delivery for your reference.,neutral
the release is completely delayed; our clients are complaining.,negative
This is frustrating. the delivery failed again and must be fixed immediately.,negative
"We are very happy with the product, truly impressive work.",positive
"The agenda for the meeting covers scope, timeline, and budget.",neutral
"I am extremely disappointed with the delivery, it was delayed.",negative
"We are very happy with your service, truly smooth work.",positive
"I love how the team turned out, it was fantastic.",positive
Please find attached the notes for your service.,neutral
Forwarding the documentation related to your service for your reference.,neutral
Urgent: the demo is broken and we risk losing the contract.,negative
Great job on the project — the results were excellent and exceeded expectations.,positive
"We are very happy with our vendor, truly smooth work.",positive
Forwarding the documentation related to the project for your reference.,neutral
I demand a refund — the report was unacceptable and unusable.,negative
"The agenda for the delivery covers scope, timeline, and budget.",neutral
Forwarding the documentation related to the demo for your reference.,neutral
We reviewed the meeting and there are no changes to report.,neutral
"Fantastic news about the report, everything went great.",positive
"Fantastic news about the release, everything went fantastic.",positive
"Thank you so much, the release was absolutely excellent.",positive
our vendor is completely faulty; our clients are complaining.,negative
Escalating this: the release is broken and downtime is increasing.,negative
"We are very happy with the team, truly wonderful work.",positive
Urgent: our vendor is unacceptable and we risk losing the contract.,negative
I demand a refund — the project was faulty and unusable.,negative
"Congratulations to everyone, the report looked outstanding today.",positive
Escalating this: the delivery is awful and downtime is increasing.,negative
We have a urgent problem with the project and need it resolved asap.,negative
"I am extremely disappointed with the update, it was urgent.",negative
"Thank you so much, the demo was absolutely great.",positive
Really appreciate the great effort on the update.,positive
Urgent: the demo is urgent and we risk losing the contract.,negative
"Thank you so much, support was absolutely flawless.",positive
the update was flawless; the client was thrilled with the outcome.,positive
I demand a refund — our vendor was disappointing and unusable.,negative
the report is completely critical; our clients are complaining.,negative
"Thank you so much, the project was absolutely superb.",positive
"We are very happy with the meeting, truly flawless work.",positive
"Thank you so much, the update was absolutely flawless.",positive
the client is completely delayed; our clients are complaining.,negative
"Thank you so much, the demo was absolutely outstanding.",positive
"I love how your service turned out, it was impressive.",positive
the release was wonderful; the client was thrilled with the outcome.,positive
the project is scheduled for Thursday at 10:00 AM.,neutral
We have a terrible problem with the project and need it resolved asap.,negative
Urgent: your service is urgent and we risk losing the contract.,negative
the update is scheduled for Thursday at 10:00 AM.,neutral
"Fantastic news about the release, everything went great.",positive
I demand a refund — the project was awful and unusable.,negative
Great job on the team — the results were great and exceeded expectations.,positive
Great job on your service — the results were delightful and exceeded expectations.,positive
"Thank you so much, support was absolutely wonderful.",positive
We have a awful problem with the delivery and need it resolved asap.,negative
"Thank you so much, the invoice was absolutely smooth.",positive
"I love how your service turned out, it was flawless.",positive
support is scheduled for Thursday at 10:00 AM.,neutral
Urgent: the delivery is urgent and we risk losing the contract.,negative
"The agenda for your service covers scope, timeline, and budget.",neutral
Urgent: the delivery is faulty and we risk losing the contract.,negative
Urgent: the product is frustrating and we risk losing the contract.,negative
"I love how support turned out, it was excellent.",positive
I demand a refund — the delivery was delayed and unusable.,negative
"Fantastic news about the release, everything went impressive.",positive
This is frustrating. our vendor failed again and must be fixed immediately.,negative
the invoice is scheduled for Thursday at 10:00 AM.,neutral
Great job on the product — the results were smooth and exceeded expectations.,positive
Please find attached the notes for the invoice.,neutral
This is disappointing. our vendor failed again and must be fixed immediately.,negative
"Fantastic news about the invoice, everything went wonderful.",positive
"Thank you so much, your service was absolutely flawless.",positive
"I am extremely disappointed with support, it was critical.",negative
"The agenda for support covers scope, timeline, and budget.",neutral
"I love how the project turned out, it was great.",positive
the demo is completely unacceptable; our clients are complaining.,negative
"Fantastic news about the project, everything went smooth.",positive
This is critical. the invoice failed again and must be fixed immediately.,negative
Here is the weekly status update on the delivery.,neutral
This is unacceptable. our vendor failed again and must be fixed immediately.,negative
the invoice is completely disappointing; our clients are complaining.,negative
"Thank you so much, the invoice was absolutely impressive.",positive
the meeting is scheduled for Thursday at 10:00 AM.,neutral
the report was excellent; the client was thrilled with the outcome.,positive
We have a awful problem with the report and need it resolved asap.,negative
The unacceptable issue with the product has not been addressed despite reminders.,negative
Escalating this: the demo is awful and downtime is increasing.,negative
"We are very happy with the invoice, truly fantastic work.",positive
"I am extremely disappointed with the update, it was broken.",negative
Can you confirm the details for the release before Friday?,neutral
"Congratulations to everyone, the update looked impressive today.",positive
Really appreciate the superb effort on the delivery.,positive
Please find attached the notes for the release.,neutral
Escalating this: the meeting is urgent and downtime is increasing.,negative
Escalating this: the report is awful and downtime is increasing.,negative
"Thank you so much, the project was absolutely delightful.",positive
The unacceptable issue with the invoice has not been addressed despite reminders.,negative
Urgent: the invoice is broken and we risk losing the contract.,negative
"I am extremely disappointed with the delivery, it was unacceptable.",negative
Escalating this: the invoice is urgent and downtime is increasing.,negative
We reviewed the demo and there are no changes to report.,neutral
Really appreciate the superb effort on our vendor.,positive
Reminder: the team takes place next week as planned.,neutral
The frustrating issue with the project has not been addressed despite reminders.,negative
"Fantastic news about the team, everything went superb.",positive
Great job on the report — the results were superb and exceeded expectations.,positive
the product is scheduled for Thursday at 10:00 AM.,neutral
I demand a refund — our vendor was broken and unusable.,negative
Urgent: the delivery is awful and we risk losing the contract.,negative
"I am extremely disappointed with your service, it was frustrating.",negative
"I am extremely disappointed with support, it was awful.",negative
We have a frustrating problem with the team and need it resolved asap.,negative
"Fantastic news about your service, everything went excellent.",positive
I demand a refund — the client was delayed and unusable.,negative
The critical issue with our vendor has not been addressed despite reminders.,negative
the invoice was flawless; the client was thrilled with the outcome.,positive
"Congratulations to everyone, support looked excellent today.",positive
"Congratulations to everyone, the demo looked fantastic today.",positive
